first_name,county,last_name,state,zip
Ozell,New York,Shealy,NY,10002
Brock,New York,Bolognia,NY,10003
Mirta,New York,Mallett,NY,10004
Tawna,New York,Buvens,NY,10009
Willow,New York,Kusko,NY,10011
Jose,New York,Stockham,NY,10011
Layla,New York,Springe,NY,10011
Cyril,New York,Daufeldt,NY,10013
Derick,New York,Dhamer,NY,10013
Jess,New York,Chaffins,NY,10016
Haydee,New York,Denooyer,NY,10016
Alishia,New York,Sergi,NY,10025
Fausto,New York,Agramonte,NY,10038
Justine,New York,Mugnolo,NY,10048
